MERISTEM MALT COST CALCULATOR

BREAK-EVEN SUMMARY
Metric,Value
Cost per Batch,1017.51
Malt Output per Batch (lbs),222.0
Cost per Lb,4.5834
Break-Even Price/Lb,4.5834
Current Selling Price/Lb,5
Margin per Lb,0.4166
Margin %,8.3%
Break-Even Batches/Year,44
Annual Profit/Loss,9248.81

BATCH CONFIGURATION
Parameter,Value
Grain Type,Organic Corn
Batch Size (lbs grain input),300
Malt Yield %,80%
Malt Output (lbs),240.0
Batches per Year,100
Grain Cost ($/bushel),10
Lbs per Bushel (corn),56
Bushels per Batch,5.36

VARIABLE COSTS (PER BATCH)
Cost Item,Details,Amount
Water,,1.3
Electrical,,100
Grain (auto-calculated),5.4 bu @ $10/bu,53.57
Labor,$35/hr x 14 hrs,490
Grain Testing,,150
SUBTOTAL (per batch),,794.87

FIXED ANNUAL COSTS
Cost Item,Annual Amount,Per Batch
Commercial Space Rental,3600,36.0
Insurance,0,0.0
Organic Certification,0,0.0
Food Safety Permits,0,0.0
Marketing,0,0.0
Accounting,0,0.0
SUBTOTAL,3600,36.0

CAPITAL EQUIPMENT (AMORTIZED)
Equipment,Cost,Useful Life (yrs),Annual Amortization,Per Batch
Poly Pro Boxes (8),4800,10,480.0,4.8
Data Loggers,924.73,7,132.1,1.32
Moisture Balance,4000,10,400.0,4.0
50lb Sacks (initial stock),500,1,500.0,5.0
Bag Stitcher,395.42,10,39.54,0.4
TOTALS,10620.15,,1551.65,15.52

COMMONLY FORGOTTEN COSTS
Cost Item,Enabled?,Amount,Type,Impact ($/lb)
Product Liability Insurance,YES,1200,per year,0.0541
Organic Certification,NO,1500,per year,--
Food Safety Licensing/Permits,NO,500,per year,--
Freight/Shipping,YES,50,per batch,0.2252
Shrink/Loss Factor,YES,7.5%,% loss per batch,0.3438
Fuel/Gas for Kilning,YES,30,per batch,0.1351
Equipment Maintenance (2%/yr),YES,212.4,per year (auto-calc),0.0096
Cleaning/Sanitation Supplies,YES,20,per batch,0.0901
Quality Control Testing,YES,50,per batch,0.2252
Website/Online Presence,YES,200,per year,0.009
Accounting/Bookkeeping,YES,500,per year,0.0225

SCENARIO COMPARISON
Scenario,Batches/Yr,Batch Size (lbs),Selling $/lb,Cost/lb,Margin/lb,Annual Profit
Pessimistic,6,300,3,8.9814,-5.9814,-8613.28
Base,12,500,3,3.8755,-0.8755,-4202.51
Optimistic,24,500,5,3.1189,1.8811,18059.04

MALT PRICING TABLE
Malt Type,Price per Lb
Conventional Barley,3
Conventional Corn,3
Conventional Rye,3
Conventional Wheat,3
Organic Barley,5
Organic Corn,5
Organic Rye,5
Organic Wheat,5

COST BREAKDOWN (PER BATCH)
Category,Amount,% of Total
Variable Costs,794.87,78.1%
Fixed Costs (allocated),36.0,3.5%
Equipment Amortization (allocated),15.52,1.5%
Forgotten Costs (if enabled),171.12,16.8%
TOTAL PER BATCH,1017.51,100%
